,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
uncultured_Desulfuromonadaceae,0.279144,0.264519,0.314572,0.356436,0.387161,0.425564,0.478692,0.408304,0.546467,0.578016,0.362187,0.227207,0.316458,0.387161,0.385238,0.457956,0.433215,0.442756,0.35452,0.389084,0.366024,0.387161,0.286527,0.456061,0.366024,0.377549,0.456061,0.508422,0.404462,0.329716,0.454165,0.482438,0.657951,0.239451,0.423649,0.421733,0.394852,0.465521,0.316458,0.419817
uncultured_Desulfuromonadales,0.961302,0.958457,0.967149,0.972625,0.975919,0.979392,0.983307,0.977909,0.987228,0.988748,0.973282,0.949649,0.967426,0.975919,0.975728,0.981883,0.980013,0.980758,0.972401,0.976109,0.97371,0.975919,0.962634,0.981747,0.97371,0.974944,0.981747,0.985152,0.977562,0.969283,0.98161,0.983552,0.991961,0.952823,0.979233,0.979073,0.976666,0.982417,0.967426,0.978911
uncultured_Dongia,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
uncultured_Edaphobacter,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Elusimicrobia,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
uncultured_Epsilonproteobacteria,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Ferrimicrobium,0.923489,0.918101,0.934662,0.945245,0.95167,0.958492,0.966241,0.955573,0.974064,0.977114,0.946523,0.901614,0.935193,0.95167,0.951296,0.963416,0.959716,0.961189,0.94481,0.952042,0.947356,0.95167,0.926022,0.963146,0.947356,0.949764,0.963146,0.969914,0.954892,0.938772,0.962873,0.966727,0.983595,0.907522,0.958179,0.957863,0.953135,0.964473,0.935193,0.957544
uncultured_Ferruginibacter,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
uncultured_Fibrobacteres,0.257781,0.243896,0.291594,0.331881,0.361679,0.399202,0.451626,0.382299,0.519387,0.551272,0.337444,0.208668,0.293402,0.361679,0.359809,0.431093,0.406714,0.4161,0.33003,0.363551,0.34116,0.361679,0.264807,0.429221,0.34116,0.352336,0.429221,0.481227,0.378545,0.306126,0.427348,0.455345,0.633058,0.220198,0.397323,0.395445,0.369169,0.438573,0.293402,0.393566
uncultured_Firmicutes,0.923489,0.918101,0.934662,0.945245,0.95167,0.958492,0.966241,0.955573,0.974064,0.977114,0.946523,0.901614,0.935193,0.95167,0.951296,0.963416,0.959716,0.961189,0.94481,0.952042,0.947356,0.95167,0.926022,0.963146,0.947356,0.949764,0.963146,0.969914,0.954892,0.938772,0.962873,0.966727,0.983595,0.907522,0.958179,0.957863,0.953135,0.964473,0.935193,0.957544
uncultured_Flavisolibacter,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
uncultured_Flexibacter,0.346817,0.330271,0.386232,0.431628,0.46416,0.50392,0.557339,0.486172,0.622943,0.652555,0.437767,0.287307,0.388305,0.46416,0.462143,0.536704,0.511725,0.521405,0.429578,0.466174,0.44185,0.46416,0.355109,0.534805,0.44185,0.454052,0.534805,0.586459,0.482194,0.402799,0.532902,0.561039,0.725086,0.301527,0.501961,0.499998,0.472202,0.544263,0.388305,0.498032
uncultured_Frankineae,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
uncultured_Fusobacteria,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Gaiella,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
uncultured_Gemmata,0.42016,0.40227,0.462015,0.508932,0.541737,0.580938,0.632118,0.563558,0.692749,0.719348,0.515174,0.354904,0.464187,0.541737,0.539723,0.612546,0.588521,0.597874,0.506842,0.543746,0.519312,0.541737,0.429054,0.610732,0.519312,0.531616,0.610732,0.659326,0.559637,0.479294,0.608912,0.635601,0.782582,0.370728,0.579029,0.577114,0.549744,0.619744,0.464187,0.575193
uncultured_Gemmatimonadaceae,0.499562,0.481096,0.541934,0.588095,0.619565,0.656332,0.703011,0.640142,0.75646,0.779301,0.594133,0.431143,0.544102,0.619565,0.617651,0.685333,0.663341,0.671942,0.586068,0.621471,0.598123,0.619565,0.508662,0.683684,0.598123,0.609925,0.683684,0.727238,0.636465,0.559096,0.682028,0.706135,0.832178,0.448006,0.654562,0.652784,0.627148,0.691859,0.544102,0.651
uncultured_Gemmatimonadales,0.346817,0.330271,0.386232,0.431628,0.46416,0.50392,0.557339,0.486172,0.622943,0.652555,0.437767,0.287307,0.388305,0.46416,0.462143,0.536704,0.511725,0.521405,0.429578,0.466174,0.44185,0.46416,0.355109,0.534805,0.44185,0.454052,0.534805,0.586459,0.482194,0.402799,0.532902,0.561039,0.725086,0.301527,0.501961,0.499998,0.472202,0.544263,0.388305,0.498032
uncultured_Gemmatimonadetes,0.885265,0.877542,0.901423,0.916912,0.926403,0.936553,0.948176,0.9322,0.960012,0.964655,0.918795,0.854187,0.902197,0.926403,0.925849,0.943927,0.938383,0.940587,0.916272,0.926954,0.920023,0.926403,0.888911,0.943522,0.920023,0.92358,0.943522,0.95372,0.931187,0.907417,0.943113,0.948909,0.974572,0.862508,0.936086,0.935614,0.928575,0.945517,0.902197,0.935139
uncultured_Geoalkalibacter,0.395059,0.377541,0.436294,0.482944,0.515834,0.555432,0.607624,0.537836,0.670185,0.697886,0.489185,0.331472,0.438444,0.515834,0.513808,0.587598,0.56313,0.572641,0.480857,0.517856,0.493327,0.515834,0.403791,0.585746,0.493327,0.505663,0.585746,0.635598,0.533875,0.453422,0.583889,0.611196,0.764371,0.346813,0.553496,0.551555,0.523896,0.594953,0.438444,0.549609
uncultured_Geobacter,0.370616,0.353549,0.411034,0.457173,0.489971,0.529756,0.582697,0.512037,0.646924,0.675632,0.463379,0.308954,0.41315,0.489971,0.487944,0.562316,0.537528,0.547148,0.455099,0.491994,0.467503,0.489971,0.379147,0.560435,0.467503,0.479805,0.560435,0.611312,0.508057,0.427923,0.55855,0.586342,0.745227,0.323758,0.527803,0.525846,0.498044,0.569792,0.41315,0.523885
uncultured_Geothrix,0.323648,0.307687,0.361889,0.406317,0.438413,0.477935,0.531551,0.460253,0.598222,0.628617,0.412358,0.266492,0.363909,0.438413,0.436417,0.510769,0.485732,0.495419,0.404302,0.440408,0.41638,0.438413,0.331667,0.508861,0.41638,0.428418,0.508861,0.561032,0.456299,0.378055,0.506949,0.535287,0.703878,0.280086,0.47598,0.474022,0.446381,0.518372,0.363909,0.472062
uncultured_Gram-positive,0.236994,0.223891,0.269069,0.307595,0.33631,0.372737,0.42414,0.35629,0.491472,0.523511,0.312941,0.190823,0.270791,0.33631,0.334502,0.403936,0.380067,0.389241,0.305817,0.33812,0.316516,0.33631,0.243639,0.402098,0.316516,0.327286,0.402098,0.453429,0.352646,0.282927,0.400261,0.427809,0.606747,0.201618,0.370906,0.369076,0.343557,0.411285,0.270791,0.367247
uncultured_Green,0.615558,0.597927,0.654893,0.696055,0.72316,0.753892,0.791529,0.740481,0.832835,0.849934,0.701315,0.54867,0.656865,0.72316,0.721533,0.777452,0.75964,0.766646,0.694284,0.724778,0.704775,0.72316,0.624136,0.776128,0.704775,0.714937,0.776128,0.810482,0.737409,0.670397,0.774796,0.793995,0.888313,0.56556,0.752435,0.750969,0.729579,0.782673,0.656865,0.749496
uncultured_Haliscomenobacter,0.646462,0.629395,0.684257,0.723396,0.748942,0.777692,0.812594,0.765173,0.850515,0.866096,0.728367,0.581293,0.686141,0.748942,0.747413,0.799579,0.783044,0.789556,0.72172,0.750461,0.731634,0.748942,0.654737,0.798352,0.731634,0.741211,0.798352,0.830043,0.7623,0.699048,0.797118,0.814869,0.900824,0.597857,0.776334,0.774967,0.754966,0.804412,0.686141,0.773593
uncultured_Holophaga,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
uncultured_Holophagae,0.885265,0.877542,0.901423,0.916912,0.926403,0.936553,0.948176,0.9322,0.960012,0.964655,0.918795,0.854187,0.902197,0.926403,0.925849,0.943927,0.938383,0.940587,0.916272,0.926954,0.920023,0.926403,0.888911,0.943522,0.920023,0.92358,0.943522,0.95372,0.931187,0.907417,0.943113,0.948909,0.974572,0.862508,0.936086,0.935614,0.928575,0.945517,0.902197,0.935139
uncultured_Hyphomicrobiaceae,0.848191,0.838429,0.868797,0.888779,0.901138,0.91445,0.929819,0.908729,0.945608,0.951838,0.891225,0.809235,0.86979,0.901138,0.900413,0.924186,0.916862,0.919769,0.88795,0.901857,0.892821,0.901138,0.85282,0.923649,0.892821,0.897453,0.923649,0.937197,0.9074,0.876504,0.923108,0.930792,0.965222,0.81958,0.913835,0.913215,0.903979,0.926291,0.86979,0.91259
uncultured_Iamiaceae,0.710511,0.695078,0.744168,0.778287,0.800164,0.824423,0.853372,0.813907,0.884217,0.896712,0.782568,0.650771,0.745828,0.800164,0.798864,0.84264,0.828898,0.834325,0.776841,0.801455,0.785375,0.800164,0.717941,0.841625,0.785375,0.793576,0.841625,0.867642,0.811483,0.757149,0.840603,0.85524,0.924195,0.666164,0.823286,0.822141,0.805278,0.846634,0.745828,0.820988
uncultured_Kineosporiaceae,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
uncultured_Ktedonobacter,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
uncultured_Leptospira,0.159348,0.149696,0.183441,0.213284,0.236198,0.26613,0.310098,0.252493,0.37099,0.401374,0.217506,0.12581,0.184753,0.236198,0.234738,0.292567,0.272273,0.280021,0.211884,0.237662,0.22034,0.236198,0.164285,0.290989,0.22034,0.228934,0.290989,0.336109,0.249499,0.194059,0.289414,0.313318,0.484955,0.133534,0.264602,0.263077,0.242075,0.298906,0.184753,0.261555
uncultured_Levilinea,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
uncultured_Litorilinea,0.123661,0.115873,0.143278,0.167931,0.187132,0.212577,0.25072,0.200933,0.305109,0.332953,0.171451,0.09677,0.144354,0.187132,0.185902,0.2354,0.217851,0.224527,0.166767,0.188367,0.173819,0.187132,0.127661,0.234029,0.173819,0.181019,0.234029,0.273726,0.198388,0.152005,0.232661,0.25355,0.412095,0.102921,0.211268,0.209962,0.192095,0.240923,0.144354,0.208661
uncultured_Longilinea,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
uncultured_Luteolibacter,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
uncultured_Methanomicrobia,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
uncultured_Methylococcaceae,0.301095,0.285776,0.338002,0.381251,0.412743,0.451813,0.505335,0.434293,0.572738,0.603784,0.387161,0.24647,0.33996,0.412743,0.410778,0.484518,0.459558,0.469199,0.37928,0.414707,0.391101,0.412743,0.30881,0.482611,0.391101,0.402913,0.482611,0.535022,0.430384,0.353693,0.480701,0.509086,0.681528,0.259404,0.449872,0.44793,0.420593,0.492122,0.33996,0.445986
uncultured_Methylococcales,0.777572,0.764529,0.805566,0.833331,0.850817,0.869927,0.892353,0.861679,0.915807,0.925181,0.836772,0.726341,0.806931,0.850817,0.849785,0.884087,0.87342,0.877644,0.832166,0.851842,0.839023,0.850817,0.783804,0.883302,0.839023,0.845577,0.883302,0.90326,0.85977,0.816201,0.882511,0.893786,0.945549,0.739735,0.869038,0.868141,0.854871,0.88717,0.806931,0.867239
uncultured_Methylocystaceae,0.395059,0.377541,0.436294,0.482944,0.515834,0.555432,0.607624,0.537836,0.670185,0.697886,0.489185,0.331472,0.438444,0.515834,0.513808,0.587598,0.56313,0.572641,0.480857,0.517856,0.493327,0.515834,0.403791,0.585746,0.493327,0.505663,0.585746,0.635598,0.533875,0.453422,0.583889,0.611196,0.764371,0.346813,0.553496,0.551555,0.523896,0.594953,0.438444,0.549609
uncultured_Mollicutes,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Myxococcales,0.743646,0.729306,0.774672,0.805785,0.825556,0.847321,0.873076,0.837907,0.900261,0.911198,0.809665,0.687738,0.776194,0.825556,0.824385,0.863556,0.851318,0.856157,0.804473,0.826719,0.812206,0.825556,0.750523,0.862654,0.812206,0.819617,0.862654,0.885686,0.835732,0.786549,0.861745,0.87473,0.935105,0.702248,0.846305,0.845281,0.830159,0.867103,0.776194,0.844249
uncultured_Nannocystaceae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Niastella,0.159348,0.149696,0.183441,0.213284,0.236198,0.26613,0.310098,0.252493,0.37099,0.401374,0.217506,0.12581,0.184753,0.236198,0.234738,0.292567,0.272273,0.280021,0.211884,0.237662,0.22034,0.236198,0.164285,0.290989,0.22034,0.228934,0.290989,0.336109,0.249499,0.194059,0.289414,0.313318,0.484955,0.133534,0.264602,0.263077,0.242075,0.298906,0.184753,0.261555
uncultured_Nitrosomonadaceae,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
uncultured_Nitrosomonadales,0.499562,0.481096,0.541934,0.588095,0.619565,0.656332,0.703011,0.640142,0.75646,0.779301,0.594133,0.431143,0.544102,0.619565,0.617651,0.685333,0.663341,0.671942,0.586068,0.621471,0.598123,0.619565,0.508662,0.683684,0.598123,0.609925,0.683684,0.727238,0.636465,0.559096,0.682028,0.706135,0.832178,0.448006,0.654562,0.652784,0.627148,0.691859,0.544102,0.651
uncultured_Nitrosospira,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Nitrospinaceae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Nitrospira,0.499562,0.481096,0.541934,0.588095,0.619565,0.656332,0.703011,0.640142,0.75646,0.779301,0.594133,0.431143,0.544102,0.619565,0.617651,0.685333,0.663341,0.671942,0.586068,0.621471,0.598123,0.619565,0.508662,0.683684,0.598123,0.609925,0.683684,0.727238,0.636465,0.559096,0.682028,0.706135,0.832178,0.448006,0.654562,0.652784,0.627148,0.691859,0.544102,0.651
uncultured_Nitrospiraceae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
uncultured_Nitrospirae,0.236994,0.223891,0.269069,0.307595,0.33631,0.372737,0.42414,0.35629,0.491472,0.523511,0.312941,0.190823,0.270791,0.33631,0.334502,0.403936,0.380067,0.389241,0.305817,0.33812,0.316516,0.33631,0.243639,0.402098,0.316516,0.327286,0.402098,0.453429,0.352646,0.282927,0.400261,0.427809,0.606747,0.201618,0.370906,0.369076,0.343557,0.411285,0.270791,0.367247
uncultured_Opitutae,0.197094,0.185661,0.225364,0.259858,0.285957,0.319556,0.367926,0.304317,0.433046,0.464757,0.264691,0.157097,0.226893,0.285957,0.284304,0.348778,0.326384,0.334963,0.258253,0.287613,0.26793,0.285957,0.202919,0.347046,0.26793,0.277719,0.347046,0.396003,0.300956,0.237704,0.345315,0.371423,0.549422,0.166376,0.317854,0.316154,0.292597,0.355723,0.226893,0.314456
uncultured_Opitutus,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
uncultured_Parcubacteria,0.123661,0.115873,0.143278,0.167931,0.187132,0.212577,0.25072,0.200933,0.305109,0.332953,0.171451,0.09677,0.144354,0.187132,0.185902,0.2354,0.217851,0.224527,0.166767,0.188367,0.173819,0.187132,0.127661,0.234029,0.173819,0.181019,0.234029,0.273726,0.198388,0.152005,0.232661,0.25355,0.412095,0.102921,0.211268,0.209962,0.192095,0.240923,0.144354,0.208661
uncultured_Pasteuria,0.848191,0.838429,0.868797,0.888779,0.901138,0.91445,0.929819,0.908729,0.945608,0.951838,0.891225,0.809235,0.86979,0.901138,0.900413,0.924186,0.916862,0.919769,0.88795,0.901857,0.892821,0.901138,0.85282,0.923649,0.892821,0.897453,0.923649,0.937197,0.9074,0.876504,0.923108,0.930792,0.965222,0.81958,0.913835,0.913215,0.903979,0.926291,0.86979,0.91259
uncultured_Pedomicrobium,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
uncultured_Pedosphaera,0.615558,0.597927,0.654893,0.696055,0.72316,0.753892,0.791529,0.740481,0.832835,0.849934,0.701315,0.54867,0.656865,0.72316,0.721533,0.777452,0.75964,0.766646,0.694284,0.724778,0.704775,0.72316,0.624136,0.776128,0.704775,0.714937,0.776128,0.810482,0.737409,0.670397,0.774796,0.793995,0.888313,0.56556,0.752435,0.750969,0.729579,0.782673,0.656865,0.749496
uncultured_Peptococcaceae,0.279144,0.264519,0.314572,0.356436,0.387161,0.425564,0.478692,0.408304,0.546467,0.578016,0.362187,0.227207,0.316458,0.387161,0.385238,0.457956,0.433215,0.442756,0.35452,0.389084,0.366024,0.387161,0.286527,0.456061,0.366024,0.377549,0.456061,0.508422,0.404462,0.329716,0.454165,0.482438,0.657951,0.239451,0.423649,0.421733,0.394852,0.465521,0.316458,0.419817
uncultured_Phycisphaera,0.141252,0.132524,0.16314,0.190451,0.211572,0.239361,0.280598,0.226673,0.33854,0.36782,0.194333,0.11102,0.164337,0.211572,0.210223,0.264096,0.245093,0.252335,0.189166,0.212926,0.196941,0.211572,0.145726,0.262615,0.196941,0.204862,0.262615,0.305229,0.223893,0.172833,0.261137,0.283638,0.449662,0.117959,0.237937,0.236516,0.21701,0.270054,0.164337,0.235099
uncultured_Phycisphaerales,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
uncultured_Phyllobacteriaceae,0.812374,0.800849,0.836907,0.860968,0.875987,0.892281,0.911246,0.885263,0.930902,0.938708,0.863932,0.766754,0.838096,0.875987,0.875103,0.904275,0.895245,0.898825,0.859964,0.876863,0.865868,0.875987,0.817859,0.903612,0.865868,0.871497,0.903612,0.920409,0.883635,0.846154,0.902943,0.912452,0.95557,0.778773,0.891525,0.890763,0.879453,0.906877,0.838096,0.889996
uncultured_Pirellula,0.216769,0.204485,0.246993,0.283585,0.311065,0.346184,0.396238,0.330292,0.4627,0.494688,0.288688,0.173642,0.248621,0.311065,0.30933,0.376494,0.353286,0.362191,0.281889,0.312803,0.292103,0.311065,0.223013,0.374703,0.292103,0.30241,0.374703,0.425022,0.326779,0.260119,0.372913,0.399834,0.578909,0.183685,0.344412,0.342642,0.318029,0.383666,0.248621,0.340873
uncultured_Planctomyces,0.346817,0.330271,0.386232,0.431628,0.46416,0.50392,0.557339,0.486172,0.622943,0.652555,0.437767,0.287307,0.388305,0.46416,0.462143,0.536704,0.511725,0.521405,0.429578,0.466174,0.44185,0.46416,0.355109,0.534805,0.44185,0.454052,0.534805,0.586459,0.482194,0.402799,0.532902,0.561039,0.725086,0.301527,0.501961,0.499998,0.472202,0.544263,0.388305,0.498032
uncultured_Planctomycetaceae,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
