,10A,10B,10C,10D,10E,10F,10G,10H,11A,11B,11C,11D,11E,11F,11G,11H,12A,12B,12C,12D,12E,12F,1A,1Aa,1B,1Bb,1C,1Cc,1D,1Dd,1E,1Ee,1F,1Ff,1G,1Gg,1H,1Hh,2A,2Aa,2B,2Bb,2C,2Cc,2D,2Dd,2,2Ee,2F,2Ff,2G,2Gg,2H,2Hh,3A,3Aa,3B,3Bb,3C,3Cc,3D,3Dd,3,3Ee,3F,3Ff,3G,3Gg,3H,3Hh,4A,4Aa,4B,4C,4Cc,4D,4Dd,4,4Ee,4F,4Ff,4G,4Gg,4H,4Hh,5A,5Aa,5B,5Bb,5C,5Cc,5D,5Dd,5E,5Ee,5F,5Ff,5G,5Gg,5H,5Hh,6A,6Aa,6B,6Bb,6C,6Cc,6D,6Dd,6E,6Ee,6F,6Ff,6G,6Gg,6H,6Hh,7A,7B,7C,7D,7E,7F,7G,7H,8A,8B,8C,8D,8E,8F,8G,8H,9A,9B,9C,9D,9E,9F,9G,9H,AN16S,ON16S,repeat-4Bb,repeat-6Gg,repeat-6Hh
Actinophytocola,0.115417425,0.271294424,0.152689599,0.018737327,0.073698402,0.023970814,0.176995627,0.042517566,0.018737327,0.168742384,0.025821988,0.238504371,0.344534745,0.054627582,0.085680696,0.015518339,0.09517255,0.118950701,0.011103776,0.022172784,0.091961086,0.101736366,0.001198632,0.137273328,0.001981427,0.105088018,0.009745142,0.031691904,0.031691904,0.15664456,0.007202765,0.027726047,0.012519347,0.09517255,0.029682758,0.020428182,0.000580655,0.017100577,0.001981427,0.18964476,0.001981427,0.002874806,0.002874806,0.193930279,0.008444397,0.108485673,0.033753288,0.181176759,0.001981427,0.261812159,0.008444397,0.03586672,0.001981427,0.09517255,0.000580655,0.020428182,0.003853007,0.068000785,0.004904094,0.029682758,0.018737327,0.027726047,0.000580655,0.001981427,0.054627582,0.098431091,0.003853007,0.068000785,0.001198632,0.018737327,0.003853007,0.033753288,0.001198632,0.000580655,0.022172784,0.003853007,0.098431091,0.018737327,0.040249027,0.001198632,0.105088018,0.022172784,0.073698402,0.018737327,0.164671552,0.000580655,0.038032023,0.009745142,0.160638742,0.025821988,0.022172784,0.003853007,0.073698402,0.017100577,0.017100577,0.001981427,0.003853007,0.001198632,0.027726047,0.003853007,0.181176759,0.003853007,0.105088018,0.001198632,0.18539336,0.000580655,0.09517255,0.000580655,0.044837477,0.000580655,0.20698456,0.018737327,0.038032023,0.001198632,0.003853007,0.000580655,0.000190965,0.000580655,0.000580655,0.002874806,0.001198632,0.003853007,0.004904094,0.001981427,0.027726047,0.004904094,0.007202765,0.001198632,0.001981427,0.003853007,0.000580655,0.05982655,0.001198632,0.004904094,0.001981427,0.012519347,0.001198632,0.004904094,0.001198632,0.033753288,0.247755223,0.008444397,0.007202765,0.126149892,0.015518339,0.000190965
Actinoplanes,0.637754402,0.833983474,0.708587003,0.204869805,0.517735704,0.248904389,0.743712537,0.37467824,0.204869805,0.732555063,0.263437813,0.808655043,0.87642913,0.438106901,0.558392109,0.175389579,0.586651202,0.645607554,0.131574019,0.234284226,0.577439157,0.604466935,0.015934848,0.682236174,0.026090093,0.613076864,0.117222213,0.306337587,0.306337587,0.714793894,0.089165251,0.277865554,0.146079096,0.586651202,0.292170567,0.219598309,0.007778509,0.19012422,0.026090093,0.759487405,0.026090093,0.037445656,0.037445656,0.764501569,0.103068978,0.621492503,0.320353005,0.749095905,0.026090093,0.827158356,0.103068978,0.334204756,0.026090093,0.586651202,0.007778509,0.219598309,0.049602,0.496094739,0.062352086,0.292170567,0.204869805,0.277865554,0.007778509,0.026090093,0.438106901,0.59565944,0.049602,0.496094739,0.015934848,0.204869805,0.049602,0.320353005,0.015934848,0.007778509,0.234284226,0.049602,0.59565944,0.204869805,0.361376057,0.015934848,0.613076864,0.234284226,0.517735704,0.204869805,0.726774593,0.007778509,0.347882206,0.117222213,0.720855306,0.263437813,0.234284226,0.049602,0.517735704,0.19012422,0.19012422,0.026090093,0.049602,0.015934848,0.277865554,0.049602,0.749095905,0.049602,0.613076864,0.015934848,0.75435318,0.007778509,0.586651202,0.007778509,0.387781831,0.007778509,0.778852688,0.204869805,0.347882206,0.015934848,0.049602,0.007778509,0.002570615,0.007778509,0.007778509,0.037445656,0.015934848,0.049602,0.062352086,0.026090093,0.277865554,0.062352086,0.089165251,0.015934848,0.026090093,0.049602,0.007778509,0.461967736,0.015934848,0.062352086,0.026090093,0.146079096,0.015934848,0.062352086,0.015934848,0.320353005,0.81631393,0.103068978,0.089165251,0.660775792,0.175389579,0.002570615
Actinoplanes_durhamensis,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Actinoplanes_ferrugineus,0.048357321,0.126631466,0.065579005,0.00738176,0.03005442,0.009474169,0.077283043,0.016999904,0.00738176,0.07326545,0.010217542,0.108717538,0.169924586,0.022008946,0.035210562,0.006101477,0.039351889,0.049953615,0.004353918,0.008753767,0.037945025,0.042245637,0.000467153,0.058352139,0.000772608,0.043732817,0.003817993,0.012586047,0.012586047,0.067457265,0.002817531,0.010983935,0.004913255,0.039351889,0.011773412,0.008056303,0.000226218,0.006730143,0.000772608,0.083529382,0.000772608,0.001121571,0.001121571,0.085670457,0.003305741,0.045247062,0.013421926,0.079335749,0.000772608,0.121363351,0.003305741,0.014281143,0.000772608,0.039351889,0.000226218,0.008056303,0.001504104,0.02763027,0.001915651,0.011773412,0.00738176,0.010983935,0.000226218,0.000772608,0.022008946,0.040785377,0.001504104,0.02763027,0.000467153,0.00738176,0.001504104,0.013421926,0.000467153,0.000226218,0.008753767,0.001504104,0.040785377,0.00738176,0.016070017,0.000467153,0.043732817,0.008753767,0.03005442,0.00738176,0.071300388,0.000226218,0.015163803,0.003817993,0.069364359,0.010217542,0.008753767,0.001504104,0.03005442,0.006730143,0.006730143,0.000772608,0.001504104,0.000467153,0.010983935,0.001504104,0.079335749,0.001504104,0.043732817,0.000467153,0.081417837,0.000226218,0.039351889,0.000226218,0.017953587,0.000226218,0.092271504,0.00738176,0.015163803,0.000467153,0.001504104,0.000226218,7.44E-05,0.000226218,0.000226218,0.001121571,0.000467153,0.001504104,0.001915651,0.000772608,0.010983935,0.001915651,0.002817531,0.000467153,0.000772608,0.001504104,0.000226218,0.024182973,0.000467153,0.001915651,0.000772608,0.004913255,0.000467153,0.001915651,0.000467153,0.013421926,0.113685903,0.003305741,0.002817531,0.05322922,0.006101477,7.44E-05
Actinospica_sp.,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Aeromicrobium,0.048357321,0.126631466,0.065579005,0.00738176,0.03005442,0.009474169,0.077283043,0.016999904,0.00738176,0.07326545,0.010217542,0.108717538,0.169924586,0.022008946,0.035210562,0.006101477,0.039351889,0.049953615,0.004353918,0.008753767,0.037945025,0.042245637,0.000467153,0.058352139,0.000772608,0.043732817,0.003817993,0.012586047,0.012586047,0.067457265,0.002817531,0.010983935,0.004913255,0.039351889,0.011773412,0.008056303,0.000226218,0.006730143,0.000772608,0.083529382,0.000772608,0.001121571,0.001121571,0.085670457,0.003305741,0.045247062,0.013421926,0.079335749,0.000772608,0.121363351,0.003305741,0.014281143,0.000772608,0.039351889,0.000226218,0.008056303,0.001504104,0.02763027,0.001915651,0.011773412,0.00738176,0.010983935,0.000226218,0.000772608,0.022008946,0.040785377,0.001504104,0.02763027,0.000467153,0.00738176,0.001504104,0.013421926,0.000467153,0.000226218,0.008753767,0.001504104,0.040785377,0.00738176,0.016070017,0.000467153,0.043732817,0.008753767,0.03005442,0.00738176,0.071300388,0.000226218,0.015163803,0.003817993,0.069364359,0.010217542,0.008753767,0.001504104,0.03005442,0.006730143,0.006730143,0.000772608,0.001504104,0.000467153,0.010983935,0.001504104,0.079335749,0.001504104,0.043732817,0.000467153,0.081417837,0.000226218,0.039351889,0.000226218,0.017953587,0.000226218,0.092271504,0.00738176,0.015163803,0.000467153,0.001504104,0.000226218,7.44E-05,0.000226218,0.000226218,0.001121571,0.000467153,0.001504104,0.001915651,0.000772608,0.010983935,0.001915651,0.002817531,0.000467153,0.000772608,0.001504104,0.000226218,0.024182973,0.000467153,0.001915651,0.000772608,0.004913255,0.000467153,0.001915651,0.000467153,0.013421926,0.113685903,0.003305741,0.002817531,0.05322922,0.006101477,7.44E-05
Afipia_genosp.,0.271082421,0.514835062,0.3393399,0.051617371,0.184854742,0.065422232,0.380031692,0.112349126,0.051617371,0.366527328,0.070244155,0.471661897,0.599713721,0.141411309,0.210796744,0.042997255,0.230652602,0.277884072,0.031011899,0.060708359,0.224001308,0.244040059,0.003408895,0.312018147,0.005627024,0.250771034,0.027284557,0.085327735,0.085327735,0.346154373,0.020260001,0.075171055,0.034875958,0.230652602,0.080199909,0.05610567,0.001653262,0.047246762,0.005627024,0.400136282,0.005627024,0.008150692,0.008150692,0.406790634,0.023698746,0.257523429,0.090551585,0.386755184,0.005627024,0.502712912,0.023698746,0.095868538,0.005627024,0.230652602,0.001653262,0.05610567,0.010904468,0.172160809,0.013852421,0.080199909,0.051617371,0.075171055,0.001653262,0.005627024,0.141411309,0.237333054,0.010904468,0.172160809,0.003408895,0.051617371,0.010904468,0.090551585,0.003408895,0.001653262,0.060708359,0.010904468,0.237333054,0.051617371,0.10677018,0.003408895,0.250771034,0.060708359,0.184854742,0.051617371,0.359750013,0.001653262,0.101275696,0.027284557,0.352958394,0.070244155,0.060708359,0.010904468,0.184854742,0.047246762,0.047246762,0.005627024,0.010904468,0.003408895,0.075171055,0.010904468,0.386755184,0.010904468,0.250771034,0.003408895,0.393457265,0.001653262,0.230652602,0.001653262,0.118009683,0.001653262,0.426590469,0.051617371,0.101275696,0.003408895,0.010904468,0.001653262,0.000544115,0.001653262,0.001653262,0.008150692,0.003408895,0.010904468,0.013852421,0.005627024,0.075171055,0.013852421,0.020260001,0.003408895,0.005627024,0.010904468,0.001653262,0.153528273,0.003408895,0.013852421,0.005627024,0.034875958,0.003408895,0.013852421,0.003408895,0.090551585,0.484205821,0.023698746,0.020260001,0.291519577,0.042997255,0.000544115
Alcaligenaceae,0.081582468,0.202209409,0.109278007,0.012833247,0.051383087,0.016445314,0.127715145,0.029344478,0.012833247,0.121420812,0.017725877,0.175755412,0.263544311,0.037850807,0.059972134,0.010617579,0.066824101,0.084178522,0.007586411,0.015202973,0.064501026,0.071587479,0.000816349,0.097739184,0.001349822,0.074027746,0.006655257,0.021796544,0.021796544,0.112257497,0.004914989,0.019044616,0.008557449,0.066824101,0.020401508,0.013998919,0.000395387,0.01170608,0.001349822,0.137430514,0.001349822,0.001958984,0.001958984,0.140741041,0.005764538,0.076507028,0.02322973,0.130917317,0.001349822,0.194497308,0.005764538,0.024701084,0.001349822,0.066824101,0.000395387,0.013998919,0.002626382,0.04732253,0.003343973,0.020401508,0.012833247,0.019044616,0.000395387,0.001349822,0.037850807,0.069186257,0.002626382,0.04732253,0.000816349,0.012833247,0.002626382,0.02322973,0.000816349,0.000395387,0.015202973,0.002626382,0.069186257,0.012833247,0.027758417,0.000816349,0.074027746,0.015202973,0.051383087,0.012833247,0.118329083,0.000395387,0.026210634,0.006655257,0.115274582,0.017725877,0.015202973,0.002626382,0.051383087,0.01170608,0.01170608,0.001349822,0.002626382,0.000816349,0.019044616,0.002626382,0.130917317,0.002626382,0.074027746,0.000816349,0.134155855,0.000395387,0.066824101,0.000395387,0.030968866,0.000395387,0.150885127,0.012833247,0.026210634,0.000816349,0.002626382,0.000395387,0.000130018,0.000395387,0.000395387,0.001958984,0.000816349,0.002626382,0.003343973,0.001349822,0.019044616,0.003343973,0.004914989,0.000816349,0.001349822,0.002626382,0.000395387,0.04152324,0.000816349,0.003343973,0.001349822,0.008557449,0.000816349,0.003343973,0.000816349,0.02322973,0.183157821,0.005764538,0.004914989,0.089486965,0.010617579,0.000130018
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.996591513,0.998802795,0.997529776,0.977163873,0.99442246,0.982154156,0.997929302,0.990050592,0.977163873,0.997806512,0.983443239,0.998577245,0.999151747,0.992336497,0.995260537,0.972469396,0.99577533,0.996705591,0.961776403,0.98070008,0.995612993,0.996075384,0.728941346,0.997203285,0.816479974,0.996214204,0.956621323,0.986548794,0.986548794,0.997603207,0.942055124,0.984592414,0.965998295,0.99577533,0.985622038,0.979049772,0.56558493,0.974992122,0.816479974,0.998096799,0.816479974,0.865964812,0.865964812,0.998148603,0.95020964,0.99634621,0.987386473,0.997987249,0.816479974,0.998743367,0.95020964,0.988146566,0.816479974,0.99577533,0.56558493,0.979049772,0.896561723,0.993921017,0.916969359,0.985622038,0.977163873,0.984592414,0.56558493,0.816479974,0.992336497,0.995929268,0.896561723,0.993921017,0.728941346,0.977163873,0.896561723,0.987386473,0.728941346,0.56558493,0.98070008,0.896561723,0.995929268,0.977163873,0.989471083,0.728941346,0.996214204,0.98070008,0.99442246,0.977163873,0.997741427,0.56558493,0.988838719,0.956621323,0.997673706,0.983443239,0.98070008,0.896561723,0.99442246,0.974992122,0.974992122,0.816479974,0.896561723,0.728941346,0.984592414,0.896561723,0.997987249,0.896561723,0.996214204,0.728941346,0.998043047,0.56558493,0.99577533,0.56558493,0.990583176,0.56558493,0.998293213,0.977163873,0.988838719,0.728941346,0.896561723,0.56558493,0.299727779,0.56558493,0.56558493,0.865964812,0.728941346,0.896561723,0.916969359,0.816479974,0.984592414,0.916969359,0.942055124,0.728941346,0.816479974,0.896561723,0.56558493,0.993036037,0.728941346,0.916969359,0.816479974,0.965998295,0.728941346,0.916969359,0.728941346,0.987386473,0.998646913,0.95020964,0.942055124,0.996918323,0.972469396,0.299727779
Alphaproteobacteria,0.032021681,0.086250463,0.043692796,0.004818039,0.019773234,0.006188275,0.051706897,0.011133222,0.004818039,0.048948359,0.006675564,0.073567846,0.117596898,0.01443903,0.023207737,0.003980622,0.025975348,0.033097484,0.002838774,0.005716286,0.025034244,0.027914032,0.000304173,0.038777719,0.000503114,0.028911924,0.002488883,0.008229838,0.008229838,0.044974379,0.001836057,0.007178209,0.003204091,0.025975348,0.007696276,0.005259551,0.000147283,0.00439173,0.000503114,0.056011548,0.000503114,0.000730444,0.000730444,0.057491517,0.002154569,0.029929058,0.00877898,0.053119385,0.000503114,0.08250358,0.002154569,0.009343789,0.000503114,0.025975348,0.000147283,0.005259551,0.000979707,0.018162823,0.00124795,0.007696276,0.004818039,0.007178209,0.000147283,0.000503114,0.01443903,0.026935225,0.000979707,0.018162823,0.000304173,0.004818039,0.000979707,0.00877898,0.000304173,0.000147283,0.005716286,0.000979707,0.026935225,0.004818039,0.010520805,0.000304173,0.028911924,0.005716286,0.019773234,0.004818039,0.047602007,0.000147283,0.009924364,0.002488883,0.046277399,0.006675564,0.005716286,0.000979707,0.019773234,0.00439173,0.00439173,0.000503114,0.000979707,0.000304173,0.007178209,0.000979707,0.053119385,0.000979707,0.028911924,0.000304173,0.05455422,0.000147283,0.025975348,0.000147283,0.011761726,0.000147283,0.062068724,0.004818039,0.009924364,0.000304173,0.000979707,0.000147283,4.84E-05,0.000147283,0.000147283,0.000730444,0.000304173,0.000979707,0.00124795,0.000503114,0.007178209,0.00124795,0.001836057,0.000304173,0.000503114,0.000979707,0.000147283,0.015877446,0.000304173,0.00124795,0.000503114,0.003204091,0.000304173,0.00124795,0.000304173,0.00877898,0.077068777,0.002154569,0.001836057,0.035308862,0.003980622,4.84E-05
Altererythrobacter,0.032021681,0.086250463,0.043692796,0.004818039,0.019773234,0.006188275,0.051706897,0.011133222,0.004818039,0.048948359,0.006675564,0.073567846,0.117596898,0.01443903,0.023207737,0.003980622,0.025975348,0.033097484,0.002838774,0.005716286,0.025034244,0.027914032,0.000304173,0.038777719,0.000503114,0.028911924,0.002488883,0.008229838,0.008229838,0.044974379,0.001836057,0.007178209,0.003204091,0.025975348,0.007696276,0.005259551,0.000147283,0.00439173,0.000503114,0.056011548,0.000503114,0.000730444,0.000730444,0.057491517,0.002154569,0.029929058,0.00877898,0.053119385,0.000503114,0.08250358,0.002154569,0.009343789,0.000503114,0.025975348,0.000147283,0.005259551,0.000979707,0.018162823,0.00124795,0.007696276,0.004818039,0.007178209,0.000147283,0.000503114,0.01443903,0.026935225,0.000979707,0.018162823,0.000304173,0.004818039,0.000979707,0.00877898,0.000304173,0.000147283,0.005716286,0.000979707,0.026935225,0.004818039,0.010520805,0.000304173,0.028911924,0.005716286,0.019773234,0.004818039,0.047602007,0.000147283,0.009924364,0.002488883,0.046277399,0.006675564,0.005716286,0.000979707,0.019773234,0.00439173,0.00439173,0.000503114,0.000979707,0.000304173,0.007178209,0.000979707,0.053119385,0.000979707,0.028911924,0.000304173,0.05455422,0.000147283,0.025975348,0.000147283,0.011761726,0.000147283,0.062068724,0.004818039,0.009924364,0.000304173,0.000979707,0.000147283,4.84E-05,0.000147283,0.000147283,0.000730444,0.000304173,0.000979707,0.00124795,0.000503114,0.007178209,0.00124795,0.001836057,0.000304173,0.000503114,0.000979707,0.000147283,0.015877446,0.000304173,0.00124795,0.000503114,0.003204091,0.000304173,0.00124795,0.000304173,0.00877898,0.077068777,0.002154569,0.001836057,0.035308862,0.003980622,4.84E-05
Ammoniphilus,0.149707116,0.334388069,0.195603995,0.025119706,0.096952125,0.032077568,0.224927927,0.056533388,0.025119706,0.215023567,0.034532645,0.297081113,0.414961998,0.072333862,0.112256959,0.020827527,0.124292746,0.154107229,0.014925536,0.029689955,0.120229229,0.132570659,0.001616758,0.176758763,0.002671889,0.136783446,0.013105476,0.042296716,0.042296716,0.200407614,0.009695017,0.037054578,0.016820039,0.124292746,0.039642789,0.027370442,0.000783377,0.022938473,0.002671889,0.240003635,0.002671889,0.003875372,0.003875372,0.245082971,0.011361353,0.141044352,0.045015816,0.229925022,0.002671889,0.323680095,0.011361353,0.047799556,0.002671889,0.124292746,0.000783377,0.027370442,0.005192259,0.089630718,0.006606268,0.039642789,0.025119706,0.037054578,0.000783377,0.002671889,0.072333862,0.128406821,0.005192259,0.089630718,0.001616758,0.025119706,0.005192259,0.045015816,0.001616758,0.000783377,0.029689955,0.005192259,0.128406821,0.025119706,0.053558862,0.001616758,0.136783446,0.029689955,0.096952125,0.025119706,0.210118445,0.000783377,0.050647412,0.013105476,0.205246111,0.034532645,0.029689955,0.005192259,0.096952125,0.022938473,0.022938473,0.002671889,0.005192259,0.001616758,0.037054578,0.005192259,0.229925022,0.005192259,0.136783446,0.001616758,0.234950621,0.000783377,0.124292746,0.000783377,0.059570473,0.000783377,0.260467913,0.025119706,0.050647412,0.001616758,0.005192259,0.000783377,0.000257672,0.000783377,0.000783377,0.003875372,0.001616758,0.005192259,0.006606268,0.002671889,0.037054578,0.006606268,0.009695017,0.001616758,0.002671889,0.005192259,0.000783377,0.079077002,0.001616758,0.006606268,0.002671889,0.016820039,0.001616758,0.006606268,0.001616758,0.045015816,0.307685959,0.011361353,0.009695017,0.163040432,0.020827527,0.000257672
Amycolatopsis,0.454359977,0.703793,0.534900864,0.108628092,0.336768597,0.135501762,0.578508679,0.220819137,0.108628092,0.564371843,0.14468921,0.66654374,0.770359191,0.269423555,0.37424191,0.091404781,0.401657919,0.462840245,0.066868802,0.126421488,0.39259175,0.419558044,0.007600707,0.503841666,0.012512155,0.428386743,0.059094623,0.172787629,0.172787629,0.542418203,0.044252978,0.153972941,0.074855466,0.401657919,0.163342455,0.117459688,0.003694229,0.099938892,0.012512155,0.598968919,0.012512155,0.018067633,0.018067633,0.605591698,0.051549797,0.437131359,0.182298707,0.585427806,0.012512155,0.693582115,0.051549797,0.191866284,0.012512155,0.401657919,0.003694229,0.117459688,0.024090549,0.317708679,0.030493374,0.163342455,0.108628092,0.153972941,0.003694229,0.012512155,0.269423555,0.410647594,0.024090549,0.317708679,0.007600707,0.108628092,0.024090549,0.182298707,0.007600707,0.003694229,0.126421488,0.024090549,0.410647594,0.108628092,0.211135051,0.007600707,0.428386743,0.126421488,0.336768597,0.108628092,0.55715379,0.003694229,0.201481305,0.059094623,0.549835894,0.14468921,0.126421488,0.024090549,0.336768597,0.099938892,0.099938892,0.012512155,0.024090549,0.007600707,0.153972941,0.024090549,0.585427806,0.024090549,0.428386743,0.007600707,0.592247765,0.003694229,0.401657919,0.003694229,0.230525501,0.003694229,0.624875009,0.108628092,0.201481305,0.007600707,0.024090549,0.003694229,0.001217501,0.003694229,0.003694229,0.018067633,0.007600707,0.024090549,0.030493374,0.012512155,0.153972941,0.030493374,0.044252978,0.007600707,0.012512155,0.024090549,0.003694229,0.288819573,0.007600707,0.030493374,0.012512155,0.074855466,0.007600707,0.030493374,0.007600707,0.182298707,0.677623201,0.051549797,0.044252978,0.47952466,0.091404781,0.001217501
Amycolatopsis_nigrescens,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Amycolatopsis_saalfeldensis,0.406235139,0.661266705,0.48584111,0.091014256,0.294379154,0.114088138,0.530007098,0.188868257,0.091014256,0.515605616,0.122028619,0.621545321,0.733774671,0.232538817,0.329478866,0.07634448,0.3554785,0.414499528,0.055603768,0.106266448,0.346850448,0.372602187,0.006253345,0.454844718,0.010303189,0.381091532,0.049070393,0.14648004,0.14648004,0.493400403,0.036648278,0.1300795,0.06233484,0.3554785,0.13823262,0.098572186,0.003037241,0.083601849,0.010303189,0.550994383,0.010303189,0.014892664,0.014892664,0.557824556,0.042747251,0.389528615,0.154814033,0.537085315,0.010303189,0.65031822,0.042747251,0.163227076,0.010303189,0.3554785,0.003037241,0.098572186,0.019878618,0.276717365,0.025190885,0.13823262,0.091014256,0.1300795,0.003037241,0.010303189,0.232538817,0.364063488,0.019878618,0.276717365,0.006253345,0.091014256,0.019878618,0.154814033,0.006253345,0.003037241,0.106266448,0.019878618,0.364063488,0.091014256,0.180261219,0.006253345,0.381091532,0.106266448,0.294379154,0.091014256,0.508283541,0.003037241,0.171711847,0.049070393,0.500881526,0.122028619,0.106266448,0.019878618,0.294379154,0.083601849,0.083601849,0.010303189,0.019878618,0.006253345,0.1300795,0.019878618,0.537085315,0.019878618,0.381091532,0.006253345,0.544081203,0.003037241,0.3554785,0.003037241,0.197526215,0.003037241,0.577815163,0.091014256,0.171711847,0.006253345,0.019878618,0.003037241,0.001000536,0.003037241,0.003037241,0.014892664,0.006253345,0.019878618,0.025190885,0.010303189,0.1300795,0.025190885,0.036648278,0.006253345,0.010303189,0.019878618,0.003037241,0.250188813,0.006253345,0.025190885,0.010303189,0.06233484,0.006253345,0.025190885,0.006253345,0.154814033,0.633297355,0.042747251,0.036648278,0.430839032,0.07634448,0.001000536
